SampleTime,Phase,Sensor1,Sensor2,Sensor3,IJ,Sensor5,Sensor6,MouldTemp1,MouldTemp2,MouldTemp3,MouldTemp4,MouldTemp5,MouldTemp9,MouldTemp10,MouldTemp11,MouldTemp12,MouldTemp13,MouldTemp14,Sensor8,MouldFlow1,MouldFlow2,MouldFlow3,SP
0.0,1,6.2059999999999995,5.771,5.48,96.67399999999999,92.738,92.623,64.9,55.0,30.5,99.7,67.3,87.4,94.7,87.0,93.9,90.5,93.6,18.155,5,5,5,104.699
0.05,1,5.995,5.562,5.472,66.602,92.568,92.681,64.9,55.0,30.5,99.7,67.3,87.4,94.7,87.0,93.9,90.5,93.6,17.641,5,5,5,104.695
0.1,1,6.0809999999999995,5.624,5.252,45.231,92.05,92.331,64.9,55.0,30.5,99.7,67.3,87.4,94.7,87.0,93.9,90.5,93.6,17.314999999999998,5,5,5,104.698
0.15,1,5.719,5.5969999999999995,5.343,29.221999999999998,91.806,92.008,64.9,55.0,30.5,99.7,67.3,87.4,94.7,87.0,93.9,90.5,93.6,17.124000000000002,5,5,5,104.693
0.2,1,5.882,5.786,5.388,16.064999999999998,92.293,92.243,64.9,55.0,30.5,99.7,67.3,87.4,94.7,87.0,93.9,90.5,93.6,17.288,5,5,5,104.7
0.25,1,5.84,5.643,5.451,34.449,92.704,92.243,64.9,55.0,30.5,99.7,67.3,87.4,94.7,87.0,93.9,90.5,93.6,18.926,5,5,5,104.70200000000001
0.3,1,5.609,5.817,5.334,35.56,92.465,92.39,64.9,55.0,30.5,99.7,67.3,87.4,94.7,87.0,93.9,90.5,93.6,18.242,5,5,5,104.705
0.35,1,5.687,5.587,5.405,36.872,92.465,92.681,64.9,55.0,30.5,99.7,67.3,87.4,94.7,87.0,93.9,90.5,93.6,19.389000000000003,5,5,5,104.695
0.4,1,6.038,5.6129999999999995,5.2620000000000005,50.013999999999996,92.806,93.02600000000001,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.863,93.9,90.5,93.6,18.540999999999997,5,5,5,104.70100000000001
0.45,1,5.977,5.558,5.195,60.129,92.84,92.94,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.815,93.9,90.5,93.6,19.575,5,5,5,104.696
0.5,1,5.854,6.076,5.2780000000000005,62.975,93.11,93.283,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.804,93.9,90.5,93.6,18.817999999999998,5,5,5,104.698
0.55,1,5.877,5.941,5.264,59.648999999999994,93.311,93.283,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.801,93.9,90.5,93.6,19.852,5,5,5,104.70100000000001
0.6,1,5.652,5.721,5.099,56.998999999999995,93.477,93.903,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.8,93.9,90.5,93.6,18.868000000000002,5,5,5,104.7
0.65,1,5.949,5.645,5.251,46.021,93.344,93.93,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.8,93.9,90.5,93.6,20.305,5,5,5,104.70299999999999
0.7,1,5.792,5.862,5.304,26.945,93.643,93.453,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.8,93.9,90.5,93.6,19.136,5,5,5,104.70700000000001
0.75,1,5.7379999999999995,5.664,5.247,12.281,93.742,94.07,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.8,93.9,90.5,93.6,20.46,5,5,5,104.70200000000001
0.8,1,5.739,5.604,5.106,17.092,93.906,94.153,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.8,93.9,90.5,93.6,19.326999999999998,5,5,5,104.698
0.85,1,6.184,5.784,5.231,28.761,93.939,94.346,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.8,93.763,90.5,93.6,20.295,5,5,5,104.704
0.9,1,5.922,5.555,5.293,29.171,94.03699999999999,94.318,64.9,55.0,30.5,99.7,67.3,87.4,94.7,86.8,93.715,90.5,93.513,19.143,5,5,5,104.705
0.95,1,5.873,5.652,5.343,23.201,93.906,94.373,64.9,55.0,30.5,99.7,67.3,87.4,94.675,86.8,93.704,90.5,93.42699999999999,20.106,5,5,5,104.704
