size1,size2,size3,Id
299.998,199.995,199.967,33722
299.999,199.938,199.956,34803
299.95799999999997,199.916,199.947,36621
299.974,199.93,199.96099999999998,36622
299.959,199.91500000000002,199.949,36623
299.994,199.937,199.97099999999998,36734
299.974,199.911,199.956,36755
299.993,199.93599999999998,199.964,36756
299.95099999999996,199.897,199.94,36757
299.972,199.91500000000002,199.954,36759
299.972,199.92400000000004,199.954,36760
299.991,199.93,199.96,36762
299.981,199.937,199.952,36764
299.96799999999996,199.91500000000002,199.951,36765
299.983,199.926,199.956,36766
299.96299999999997,199.914,199.94599999999997,36767
299.992,199.93599999999998,199.96099999999998,36768
299.96,199.909,199.94599999999997,36769
299.988,199.93200000000002,199.96099999999998,36770
299.978,199.935,199.954,36772
299.984,199.93400000000003,199.95299999999997,36773
299.981,199.92900000000003,199.956,36774
299.977,199.925,199.952,36775
299.995,199.94299999999998,199.96099999999998,36776
299.994,199.94599999999997,199.965,36778
299.981,199.925,199.95499999999998,36779
299.999,199.93400000000003,199.959,36780
299.97499999999997,199.93,199.951,36783
299.981,199.92700000000002,199.95499999999998,36784
300.002,199.95099999999996,199.97299999999998,36786
299.96599999999995,199.92000000000002,199.94799999999998,36787
299.971,199.913,199.952,36788
299.992,199.945,199.965,36789
299.988,199.942,199.967,36791
300.0,199.952,199.97400000000002,36792
299.996,199.94599999999997,199.96900000000002,36796
299.986,199.92200000000003,199.95499999999998,36797
299.967,199.93099999999998,199.95299999999997,36798
299.98900000000003,199.94400000000002,199.968,36799
299.984,199.93599999999998,199.959,36800
299.99,199.935,199.965,36801
300.004,199.95599999999996,199.97599999999997,36803
299.991,199.952,199.96599999999998,36804
299.988,199.937,199.965,36805
300.001,199.95099999999996,199.97299999999998,36806
300.004,199.942,199.97099999999998,36807
300.004,199.95,199.97099999999998,36808
300.008,199.95299999999997,199.977,36809
300.01099999999997,199.95499999999998,199.972,36810
299.977,199.93,199.951,36811
299.999,199.949,199.96900000000002,36812
299.979,199.925,199.958,36813
299.99,199.93099999999998,199.984,36815
299.969,199.916,199.94799999999998,36816
300.0,199.94,199.972,36817
299.98900000000003,199.93,199.963,36818
299.997,199.937,199.963,36819
299.992,199.93400000000003,199.965,36821
299.98900000000003,199.93900000000002,199.963,36822
299.993,199.94099999999997,199.97,36823
299.976,199.925,199.96,36824
299.985,199.937,199.964,36825
300.008,199.966,199.97799999999998,36826
300.01099999999997,199.973,199.993,36827
